"Geographic Area Name (NAME)","2017 NAICS code (NAICS2017)","Meaning of NAICS code (NAICS2017_LABEL)","Meaning of Legal form of organization code (LFO_LABEL)","Meaning of Employment size of establishments code (EMPSZES_LABEL)","Year (YEAR)","Number of establishments (ESTAB)","Annual payroll ($1,000) (PAYANN)","First-quarter payroll ($1,000) (PAYQTR1)","Number of employees (EMP)"
"Arizona","722511","Full-service restaurants","S-corporations ","Establishments with 100 to 249 employees","2019","30","90,825","22,478","3,971"
"Arizona","722511","Full-service restaurants","Individual proprietorships","All establishments","2019","542","167,921","42,269","8,708"
"Arizona","722511","Full-service restaurants","Individual proprietorships","Establishments with less than 5 employees","2019","204","11,909","1,511","346"
"Arizona","722511","Full-service restaurants","Individual proprietorships","Establishments with 5 to 9 employees","2019","111","10,761","2,779","768"
"Arizona","722511","Full-service restaurants","Individual proprietorships","Establishments with 10 to 19 employees","2019","102","22,224","5,838","1,340"
"Arizona","722511","Full-service restaurants","Individual proprietorships","Establishments with 20 to 49 employees","2019","72","40,476","10,453","2,193"
"Arizona","722511","Full-service restaurants","Individual proprietorships","Establishments with 50 to 99 employees","2019","49","71,048","17,717","3,531"
"Arizona","722511","Full-service restaurants","Individual proprietorships","Establishments with 100 to 249 employees","2019","4","11,503","3,971","530"
"Arizona","722511","Full-service restaurants","Partnerships","All establishments","2019","1,284","698,875","178,592","33,544"
"Arizona","722511","Full-service restaurants","Partnerships","Establishments with less than 5 employees","2019","285","42,473","1,144","279"
"Arizona","722511","Full-service restaurants","Partnerships","Establishments with 5 to 9 employees","2019","139","16,663","4,432","939"
"Arizona","722511","Full-service restaurants","Partnerships","Establishments with 10 to 19 employees","2019","246","64,196","16,339","3,462"
"Arizona","722511","Full-service restaurants","Partnerships","Establishments with 20 to 49 employees","2019","402","259,426","70,286","13,368"
"Arizona","722511","Full-service restaurants","Partnerships","Establishments with 50 to 99 employees","2019","184","237,007","65,703","11,889"
"Arizona","722511","Full-service restaurants","Partnerships","Establishments with 100 to 249 employees","2019","28","79,110","20,688","3,607"
"Arizona","722511","Full-service restaurants","Other noncorporate legal forms of organization","All establishments","2019","40","16,426","4,504","1,259"
"Arizona","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 10 to 19 employees","2019","3","544","125","34"
"Arizona","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 20 to 49 employees","2019","30","10,704","2,914","881"
"Arizona","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 50 to 99 employees","2019","4","2,993","965","223"
"Arkansas","722511","Full-service restaurants","All establishments","All establishments","2019","2,052","689,021","164,408","40,077"
"Arkansas","722511","Full-service restaurants","All establishments","Establishments with less than 5 employees","2019","486","30,356","3,515","681"
"Arkansas","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2019","377","41,330","10,268","2,613"
"Arkansas","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2019","480","104,256","25,465","6,631"
"Arkansas","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2019","512","255,305","61,680","15,567"
"Arkansas","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2019","167","196,112","48,375","10,845"
"Arkansas","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2019","30","61,662","15,105","3,740"
"Arkansas","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","All establishments","2019","452","215,573","52,513","13,046"
"Arkansas","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2019","78","3,873","648","111"
"Arkansas","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2019","56","6,796","1,691","403"
"Arkansas","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2019","85","17,550","4,238","1,230"
"Arkansas","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2019","142","61,142","14,414","4,255"
"Arkansas","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 50 to 99 employees","2019","73","90,286","22,867","4,901"
"Arkansas","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 100 to 249 employees","2019","18","35,926","8,655","2,146"
"Arkansas","722511","Full-service restaurants","S-corporations ","All establishments","2019","867","289,856","68,632","15,792"
"Arkansas","722511","Full-service restaurants","S-corporations ","Establishments with less than 5 employees","2019","144","13,223","1,599","188"
"Arkansas","722511","Full-service restaurants","S-corporations ","Establishments with 5 to 9 employees","2019","157","20,355","4,876","1,116"
"Arkansas","722511","Full-service restaurants","S-corporations ","Establishments with 10 to 19 employees","2019","267","64,779","15,905","3,680"
"Arkansas","722511","Full-service restaurants","S-corporations ","Establishments with 20 to 49 employees","2019","251","132,362","32,140","7,529"
"Arkansas","722511","Full-service restaurants","S-corporations ","Establishments with 50 to 99 employees","2019","41","44,240","10,487","2,396"
"Arkansas","722511","Full-service restaurants","S-corporations ","Establishments with 100 to 249 employees","2019","7","14,897","3,625","883"
"Arkansas","722511","Full-service restaurants","Individual proprietorships","All establishments","2019","337","45,206","10,474","3,154"
"Arkansas","722511","Full-service restaurants","Individual proprietorships","Establishments with less than 5 employees","2019","154","5,615","762","248"
"Arkansas","722511","Full-service restaurants","Individual proprietorships","Establishments with 5 to 9 employees","2019","85","6,987","1,759","568"
"Arkansas","722511","Full-service restaurants","Individual proprietorships","Establishments with 10 to 19 employees","2019","57","8,913","2,148","727"
"Arkansas","722511","Full-service restaurants","Individual proprietorships","Establishments with 20 to 49 employees","2019","28","9,450","2,410","757"
"Arkansas","722511","Full-service restaurants","Individual proprietorships","Establishments with 50 to 99 employees","2019","13","14,241","3,395","854"
"Arkansas","722511","Full-service restaurants","Partnerships","All establishments","2019","385","132,772","31,582","7,832"
"Arkansas","722511","Full-service restaurants","Partnerships","Establishments with less than 5 employees","2019","108","7,574","494","132"
"Arkansas","722511","Full-service restaurants","Partnerships","Establishments with 5 to 9 employees","2019","78","7,104","1,915","517"
"Arkansas","722511","Full-service restaurants","Partnerships","Establishments with 10 to 19 employees","2019","68","12,507","3,044","961"
"Arkansas","722511","Full-service restaurants","Partnerships","Establishments with 20 to 49 employees","2019","87","48,827","11,917","2,875"
"Arkansas","722511","Full-service restaurants","Partnerships","Establishments with 50 to 99 employees","2019","39","45,921","11,387","2,636"
"Arkansas","722511","Full-service restaurants","Partnerships","Establishments with 100 to 249 employees","2019","5","10,839","2,825","711"
"Arkansas","722511","Full-service restaurants","Non-profit","All establishments","2019","9","4,998","1,057","220"
"Arkansas","722511","Full-service restaurants","Non-profit","Establishments with 10 to 19 employees","2019","3","507","130","33"
"Arkansas","722511","Full-service restaurants","Non-profit","Establishments with 20 to 49 employees","2019","3","2,932","649","118"
"California","722511","Full-service restaurants","All establishments","All establishments","2019","31,957","16,922,892","4,055,515","671,588"
"California","722511","Full-service restaurants","All establishments","Establishments with less than 5 employees","2019","8,265","675,820","66,349","12,947"
"California","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2019","5,693","811,996","197,559","39,047"
"California","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2019","7,040","2,185,916","536,974","97,519"
"California","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2019","7,387","5,575,329","1,377,377","227,877"
"California","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2019","2,869","4,880,709","1,200,298","190,206"
"California","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2019","674","2,495,236","599,704","92,692"
"California","722511","Full-service restaurants","All establishments","Establishments with 250 to 499 employees","2019","25","215,520","52,833","7,867"
"California","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","All establishments","2019","6,573","4,789,630","1,160,305","191,118"
"California","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2019","1,542","143,939","12,866","2,104"
"California","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2019","979","150,168","35,410","6,667"
"California","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2019","1,308","430,962","105,771","18,205"
"California","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2019","1,467","1,144,656","286,779","46,596"
"California","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 50 to 99 employees","2019","929","1,572,208","391,188","63,741"
"California","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 100 to 249 employees","2019","335","1,202,466","287,219","48,064"
"California","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 250 to 499 employees","2019","10","87,648","21,983","3,389"
"California","722511","Full-service restaurants","S-corporations ","All establishments","2019","13,453","6,805,873","1,629,112","268,507"
"California","722511","Full-service restaurants","S-corporations ","Establishments with less than 5 employees","2019","2,530","228,666","23,377","3,960"
"California","722511","Full-service restaurants","S-corporations ","Establishments with 5 to 9 employees","2019","2,338","363,732","88,894","16,392"
"California","722511","Full-service restaurants","S-corporations ","Establishments with 10 to 19 employees","2019","3,579","1,173,388","286,906","50,105"
"California","722511","Full-service restaurants","S-corporations ","Establishments with 20 to 49 employees","2019","3,899","2,915,625","712,545","118,156"
